zHD MU_SH0ES
3.635000000000000037e-02 3.600350000000000250e+01
3.681999999999999856e-02 3.592819999999999681e+01
3.697000000000000286e-02 3.607480000000000331e+01
3.701999999999999735e-02 3.580559999999999832e+01
3.701999999999999735e-02 3.606949999999999790e+01
3.701999999999999735e-02 3.607999999999999829e+01
3.704999999999999960e-02 3.596370000000000289e+01
3.706999999999999879e-02 3.604749999999999943e+01
3.724999999999999839e-02 3.600670000000000215e+01
3.729999999999999982e-02 3.586979999999999791e+01
3.740000000000000269e-02 3.597890000000000299e+01
3.753000000000000086e-02 3.594899999999999807e+01
3.756000000000000311e-02 3.633330000000000126e+01
3.787000000000000088e-02 3.600630000000000308e+01
3.790000000000000313e-02 3.606239999999999668e+01
3.796000000000000069e-02 3.608890000000000242e+01
3.817999999999999866e-02 3.589379999999999882e+01
3.828000000000000153e-02 3.611410000000000053e+01
3.833999999999999908e-02 3.651769999999999783e+01
3.846999999999999725e-02 3.622540000000000049e+01
3.848000000000000032e-02 3.625639999999999930e+01
3.873000000000000054e-02 3.601250000000000284e+01
3.883999999999999952e-02 3.602600000000000335e+01
3.901999999999999913e-02 3.601250000000000284e+01
3.908999999999999975e-02 3.619619999999999749e+01
3.910000000000000281e-02 3.621249999999999858e+01
4.014000000000000207e-02 3.628399999999999892e+01
4.034999999999999698e-02 3.654860000000000042e+01
4.055999999999999883e-02 3.601670000000000016e+01
4.077000000000000068e-02 3.599179999999999779e+01
4.089000000000000273e-02 3.612630000000000052e+01
4.095000000000000029e-02 3.641040000000000276e+01
4.098999999999999866e-02 3.604030000000000200e+01
4.100999999999999784e-02 3.631530000000000058e+01
4.166999999999999871e-02 3.656009999999999849e+01
4.222000000000000058e-02 3.621009999999999707e+01
4.257999999999999979e-02 3.651059999999999661e+01
4.268000000000000266e-02 3.629310000000000258e+01
4.268000000000000266e-02 3.591380000000000194e+01
4.284999999999999920e-02 3.625209999999999866e+01
4.288999999999999757e-02 3.620179999999999865e+01
4.306000000000000105e-02 3.624569999999999936e+01
4.349000000000000088e-02 3.641649999999999920e+01
4.349000000000000088e-02 3.621370000000000289e+01
4.368999999999999967e-02 3.625939999999999941e+01
4.408000000000000113e-02 3.632979999999999876e+01
4.438000000000000278e-02 3.654690000000000083e+01
4.438999999999999890e-02 3.629160000000000252e+01
4.440000000000000197e-02 3.655100000000000193e+01
4.463999999999999913e-02 3.651140000000000185e+01
4.487000000000000016e-02 3.645649999999999835e+01
4.521000000000000019e-02 3.668659999999999854e+01
4.544999999999999735e-02 3.645409999999999684e+01
4.574999999999999900e-02 3.646340000000000003e+01
4.583000000000000268e-02 3.615789999999999793e+01
4.590000000000000330e-02 3.638110000000000355e+01
4.624999999999999944e-02 3.626359999999999673e+01
4.630999999999999700e-02 3.653940000000000055e+01
4.642999999999999905e-02 3.632469999999999999e+01
4.655999999999999722e-02 3.650809999999999889e+01
4.664000000000000090e-02 3.647129999999999939e+01
4.682000000000000051e-02 3.647860000000000014e+01
4.691000000000000031e-02 3.675820000000000221e+01
4.737999999999999851e-02 3.656419999999999959e+01
4.760000000000000342e-02 3.660090000000000288e+01
4.776999999999999996e-02 3.659459999999999980e+01
4.776999999999999996e-02 3.656269999999999953e+01
4.818999999999999673e-02 3.649759999999999849e+01
4.837000000000000327e-02 3.637349999999999994e+01
4.859999999999999737e-02 3.633030000000000115e+01
4.864999999999999880e-02 3.664099999999999824e+01
4.934000000000000191e-02 3.659969999999999857e+01
4.939999999999999947e-02 3.646909999999999741e+01
4.943999999999999784e-02 3.658279999999999887e+01
4.984999999999999848e-02 3.664020000000000010e+01
4.988999999999999685e-02 3.647140000000000271e+01
5.018000000000000238e-02 3.656929999999999836e+01
5.022999999999999687e-02 3.685829999999999984e+01
5.031999999999999668e-02 3.654030000000000200e+01
5.043999999999999873e-02 3.646209999999999951e+01
5.049000000000000016e-02 3.654610000000000269e+01
5.052000000000000240e-02 3.670360000000000156e+01
5.065999999999999670e-02 3.685229999999999961e+01
5.106000000000000122e-02 3.688040000000000163e+01
5.126000000000000001e-02 3.639300000000000068e+01
5.151000000000000023e-02 3.658619999999999806e+01
